latitude,longitude,rainfall_24h,soil_moisture,elevation,slope,landslide
25.03561729,94.0144205,8.6,0.476,873.0,32.0,1
24.9925,93.5,9.4,0.426,1206.0,262.5,1
27.3736,88.7323,1.4,0.406,3454.0,215.5,0
25.6278,94.1051,22.4,0.478,1508.0,184.0,1
27.9032,96.174,51.3,0.486,197.0,5.5,1
26.49349035,91.72137514,12.3,0.486,62.0,2.0,1
25.72,94.6219,4.4,0.489,1765.0,322.0,0
25.1019,93.3729,3.6,0.467,1133.0,109.5,1
26.1961,91.7825,11.7,0.478,142.0,9.0,1
24.042,92.6724,6.8,0.417,815.0,124.0,0
26.1475,91.7356,19.2,0.488,52.0,22.0,0
25.8143,90.5763,4.7,0.467,63.0,35.5,1
23.4495,92.8112,1.3,0.406,867.0,289.5,1
25.5145,90.2023,50.3,0.472,279.0,41.5,0
25.5007,93.9854,21.8,0.44,1437.0,338.5,0
23.7281,92.7175,6.4,0.397,1080.0,44.5,0
24.6869,93.9157,1.7,0.429,772.0,0.5,0
26.1001,91.6849,37.1,0.482,84.0,179.0,1
23.74182634,92.7141905,14.2,0.421,929.0,100.0,1
25.4749,93.1477,36.5,0.484,152.0,22.0,0
24.9818,93.5142,20.2,0.427,1238.0,350.0,1
24.9926,93.4946,4.4,0.423,1131.0,135.5,1
27.322,88.6087,4.7,0.388,1477.0,158.5,1
26.99195749,88.42280921,19.8,0.422,322.0,213.5,0
25.1122,94.3591,15.8,0.423,1822.0,141.0,0
26.1966,91.802,19.0,0.475,107.0,31.5,0
24.2451,94.0691,4.1,0.434,1349.0,228.0,1
26.159,91.8178,55.8,0.485,68.0,100.0,1
27.1761,88.5287,43.3,0.426,314.0,226.5,0
24.7339,93.9161,2.5,0.176,886.0,2.5,0
27.2676,88.2891,121.6,0.425,573.0,28.5,1
24.9786,93.5027,35.6,0.426,1295.0,154.0,1
23.9278,94.0906,16.4,0.489,909.0,162.5,0
24.9849,92.8411,18.9,0.441,252.0,87.5,1
24.4279,94.0564,5.0,0.432,885.0,75.0,1
24.808,93.117,8.9,0.421,38.0,3.5,0
26.1044,91.7082,37.1,0.482,55.0,70.0,1
24.7679,93.4108,29.9,0.429,483.0,210.0,0
24.8286,93.5935,23.2,0.442,777.0,358.5,1
27.1499,88.38,17.3,0.416,1099.0,383.5,1
23.73478778,92.72124394,28.3,0.427,972.0,116.0,0
27.0816,88.4397,2.6,0.408,240.0,108.5,1
24.954,94.2156,15.8,0.469,909.0,93.5,1
27.9032,96.174,51.3,0.486,197.0,5.5,0
25.2568,92.3825,51.9,0.476,802.0,46.0,0
27.3543,88.6428,3.5,0.404,2126.0,471.0,1
26.1314,91.7548,55.8,0.482,81.0,34.5,1
27.3736,88.7323,1.4,0.406,3454.0,215.5,1
25.8143,90.5763,4.7,0.467,63.0,35.5,0
24.9818,93.5142,20.2,0.427,1238.0,350.0,0
25.3908,94.0926,21.8,0.493,1314.0,42.5,0
25.1122,94.3591,15.8,0.423,1822.0,141.0,1
26.1028,91.8806,28.2,0.481,151.0,32.5,0
27.3425,88.6236,26.5,0.429,2102.0,290.0,1
27.322,88.6087,4.7,0.388,1477.0,158.5,0
23.7348,92.7187,10.7,0.423,1043.0,71.0,0
26.1049,91.7369,36.9,0.485,164.0,56.5,1
26.1677,94.2442,10.1,0.483,754.0,247.5,0
25.0728,92.3636,66.6,0.466,120.0,180.5,0
25.72,94.6219,4.4,0.489,1765.0,322.0,1
24.8142,93.5444,11.4,0.412,562.0,274.0,1
24.7505,93.4221,8.1,0.419,772.0,119.5,1
25.7713,93.8067,26.6,0.466,235.0,146.5,0
26.1049,91.7369,36.9,0.485,164.0,56.5,0
25.4538,93.9827,21.8,0.44,1779.0,380.0,1
25.5125,93.3613,3.7,0.449,320.0,123.5,0
26.1314,91.7548,55.8,0.482,81.0,34.5,0
27.5754,91.9754,6.8,0.414,2379.0,426.0,1
25.5772,91.8666,125.6,0.487,1469.0,170.5,0
25.2193,90.5549,58.0,0.479,249.0,73.5,0
24.6869,93.9157,1.7,0.429,772.0,0.5,1
23.7313,92.7187,10.7,0.423,1039.0,67.5,1
26.0319,94.5466,15.6,0.471,1581.0,307.5,0
26.1666,91.7042,30.3,0.465,231.0,9.5,0
25.7902,94.1318,17.9,0.478,1285.0,109.5,0
26.1016,91.6906,29.0,0.491,109.0,147.5,0
25.2946,92.8339,77.9,0.491,872.0,141.0,1
24.1988,94.1016,17.3,0.428,1345.0,142.0,1
26.1619,91.7697,7.1,0.489,55.0,46.0,1
26.1407,91.7645,27.8,0.492,61.0,77.0,0
24.5202,92.7239,28.0,0.42,39.0,4.5,0
27.6163,88.6586,15.1,0.425,1875.0,539.0,0
24.7016,93.5291,4.7,0.413,664.0,262.0,1
27.1675,88.3651,70.3,0.434,1551.0,61.0,1
25.0985,94.3619,5.7,0.399,1889.0,85.5,1
26.7223,95.0243,36.6,0.485,692.0,61.0,1
27.0987,93.816,62.9,0.429,211.0,51.0,1
25.5084,90.2191,24.4,0.476,300.0,158.0,0
24.8286,93.5935,23.2,0.442,777.0,358.5,0
28.235,94.9612,22.2,0.428,251.0,137.5,1
25.5006,90.0896,0.2,0.434,48.0,56.5,0
23.3572,92.7878,7.6,0.415,1372.0,214.5,1
22.533,92.899,0.8,0.397,793.0,157.5,1
27.2333,94.1167,0.0,0.355,91.0,3.5,0
27.5799,91.8569,29.8,0.427,2758.0,312.0,0
23.0137,91.7174,11.2,0.472,21.0,10.0,1
26.1768,91.7702,10.0,0.492,127.0,19.0,0
24.7543,93.5039,10.2,0.416,422.0,540.5,0
23.591,92.9296,15.4,0.424,801.0,350.0,0
23.7527,92.694,13.0,0.424,793.0,255.5,0
27.5799,91.8569,29.8,0.427,2758.0,312.0,1
25.0672,93.4093,35.0,0.426,460.0,214.5,1
24.8142,93.5444,11.4,0.412,562.0,274.0,0
27.6438,93.871,11.6,0.423,1682.0,355.0,0
27.6163,88.6586,15.1,0.425,1875.0,539.0,1
26.1028,91.8806,28.2,0.481,151.0,32.5,1
23.72988966,92.71495623,14.2,0.421,946.0,46.5,1
26.048,91.8695,3.5,0.492,85.0,37.0,0
25.48,94.1383,16.6,0.489,1721.0,125.0,0
25.1553,93.028,15.3,0.481,565.0,148.0,1
26.3185,94.5247,10.3,0.459,1171.0,218.5,1
23.899,94.1434,15.0,0.489,269.0,90.0,0
25.5114,90.215,24.4,0.476,305.0,96.5,1
28.9986,94.8885,69.1,0.429,604.0,202.5,1
25.463,92.2121,40.2,0.466,1372.0,62.0,0
24.7625,93.4341,12.5,0.42,681.0,277.5,1
27.8837,93.0515,17.7,0.42,1679.0,386.5,1
24.2315,92.6755,47.1,0.419,680.0,83.0,1
24.1988,94.1016,17.3,0.428,1345.0,142.0,0
26.1662,91.7138,21.7,0.494,165.0,133.5,1
26.1665,91.7049,24.5,0.483,231.0,9.5,0
27.0987,93.816,62.9,0.429,211.0,51.0,0
25.9703,91.8584,7.7,0.47,299.0,55.0,1
27.337,88.609,76.1,0.432,1535.0,335.5,0
24.8669,92.3576,53.9,0.481,18.0,3.0,0
24.4638,92.4943,31.7,0.427,90.0,83.0,0
25.4477,94.0489,21.8,0.429,1287.0,137.0,0
25.1604,93.6795,1.1,0.297,1065.0,262.5,1
25.6278,94.1051,22.4,0.478,1508.0,184.0,0
24.819,94.3551,63.1,0.429,1615.0,186.5,1
27.1748,88.6458,3.5,0.379,930.0,500.5,1
25.0728,92.3636,66.6,0.466,120.0,180.5,1
25.1555,93.8474,93.7,0.428,1406.0,300.5,0
27.3773,88.559,53.9,0.429,1437.0,444.0,1
27.8835,96.9262,12.6,0.425,956.0,433.0,0
26.1044,91.7082,37.1,0.482,55.0,70.0,0
27.1667,88.35,25.2,0.426,1162.0,447.0,1
25.9611,91.3681,27.2,0.471,187.0,53.5,1
27.3746,88.7648,12.4,0.425,3751.0,112.5,1
26.1844,91.7896,27.8,0.477,64.0,15.0,1
23.8986,91.7599,6.2,0.41,212.0,82.5,0
24.75,93.4333,1.4,0.405,546.0,387.0,0
24.9667,93.55,68.7,0.427,585.0,150.5,0
27.1695,88.3664,2.1,0.412,1576.0,107.0,0
25.9702,91.8587,0.0,0.438,299.0,55.0,1
24.7992,93.948,11.0,0.486,779.0,2.0,1
25.9466,94.6279,5.4,0.5,1376.0,307.5,1
27.1249,93.7706,0.0,0.35,151.0,50.0,1
26.1226,91.7162,53.8,0.481,122.0,95.5,0
24.7992,93.948,11.0,0.486,779.0,2.0,0
27.1954,88.6115,11.8,0.412,487.0,135.0,0
24.1419,94.1078,17.3,0.473,1187.0,150.0,1
25.6263,94.1057,39.7,0.474,1546.0,231.0,0
24.6108,92.562,0.7,0.132,27.0,3.0,0
24.8063,93.9482,0.8,0.487,783.0,1.0,1
25.6633,94.4703,26.2,0.49,1443.0,60.5,0
26.7103,94.693,26.4,0.473,688.0,116.0,0
26.1062,91.8717,1.3,0.481,247.0,83.0,0
27.3702,88.7334,16.7,0.426,3520.0,110.5,1
25.8702,94.7844,3.6,0.488,1129.0,161.5,1
26.1978,91.7665,50.4,0.474,92.0,42.0,0
26.1619,91.7697,7.1,0.489,55.0,46.0,0
24.7625,93.4341,12.5,0.42,681.0,277.5,0
24.9111,94.4759,10.6,0.423,1804.0,134.5,0
27.3765,88.7628,24.4,0.426,3764.0,103.0,0
27.172,88.5292,0.0,0.391,301.0,185.5,1
24.6596,93.9784,8.6,0.489,777.0,4.5,0
27.3383,88.6069,15.8,0.425,1517.0,334.5,0
26.1771,91.7599,21.7,0.485,66.0,61.5,0
27.3392,88.6188,28.9,0.428,1892.0,266.5,0
25.1555,93.8474,93.7,0.428,1406.0,300.5,1
24.7543,93.5039,10.2,0.416,422.0,540.5,1
26.49349035,91.72137514,12.3,0.486,62.0,2.0,0
23.8986,91.7599,6.2,0.41,212.0,82.5,1
25.1941,94.4481,8.4,0.446,1713.0,64.0,0
24.6108,92.562,0.7,0.132,27.0,3.0,1
27.5748,91.8644,8.4,0.42,2695.0,245.5,1
26.048,91.8695,3.5,0.492,85.0,37.0,1
25.9702,91.8587,0.0,0.438,299.0,55.0,0
24.819,94.3551,63.1,0.429,1615.0,186.5,0
23.7348,92.7187,10.7,0.423,1043.0,71.0,1
27.0869,93.6086,3.2,0.496,312.0,151.0,1
26.1475,91.7356,19.2,0.488,52.0,22.0,1
26.1699,94.4922,10.2,0.482,1134.0,54.5,0
23.3439,93.0748,18.8,0.426,1376.0,141.5,0
24.1293,92.6921,16.7,0.422,825.0,80.0,1
26.0101,94.5282,1.5,0.459,1701.0,241.5,1
24.4265,94.1913,16.6,0.424,1299.0,208.0,1
24.3527,94.3429,25.7,0.447,285.0,128.5,1
25.583,91.893,50.4,0.483,1451.0,10.5,1
25.4477,94.0489,21.8,0.429,1287.0,137.0,1
25.583,91.893,50.4,0.483,1451.0,10.5,0
26.1062,91.8717,1.3,0.481,247.0,83.0,1
24.416,94.0984,33.3,0.435,1347.0,160.5,1
24.837,93.9128,25.3,0.481,813.0,109.5,0
27.3773,88.559,53.9,0.429,1437.0,444.0,0
24.8669,92.3576,53.9,0.481,18.0,3.0,1
27.3721,88.708,16.4,0.428,3172.0,484.0,0
25.9611,91.3681,27.2,0.471,187.0,53.5,0
26.1295,91.7056,55.8,0.482,130.0,59.5,1
26.1677,94.2442,10.1,0.483,754.0,247.5,1
24.954,94.2156,15.8,0.469,909.0,93.5,0
26.1468,91.6469,0.3,0.249,52.0,50.0,1
24.5308,92.5121,31.7,0.427,67.0,20.5,1
27.3425,88.2426,35.4,0.43,1382.0,723.0,0
26.1001,91.6849,37.1,0.482,84.0,179.0,0
24.042,92.6724,6.8,0.417,815.0,124.0,1
25.16,93.686,1.8,0.401,1089.0,313.0,1
24.4072,94.0644,33.3,0.435,1148.0,123.0,0
28.1737,94.7596,44.4,0.429,610.0,116.5,0
24.9356,93.8443,10.0,0.473,850.0,56.0,1
26.1324,91.8342,55.8,0.482,71.0,66.5,1
27.1748,88.6458,3.5,0.379,930.0,500.5,0
27.3383,88.6069,15.8,0.425,1517.0,334.5,1
26.7103,94.693,26.4,0.473,688.0,116.0,1
25.1775,93.0123,183.9,0.48,646.0,79.5,1
25.5084,90.2191,24.4,0.476,300.0,158.0,1
24.8063,93.9482,0.8,0.487,783.0,1.0,0
26.1963,91.8074,10.0,0.492,196.0,39.5,1
25.2946,92.8339,77.9,0.491,872.0,141.0,0
25.1796,93.0083,57.9,0.487,696.0,63.5,0
26.1699,91.7986,12.5,0.475,151.0,47.0,1
25.1416,92.3807,51.9,0.466,172.0,242.5,0
27.3341,88.6083,4.7,0.388,1418.0,404.0,1
24.7979,92.9974,37.5,0.456,24.0,4.0,0
25.9466,94.6279,5.4,0.5,1376.0,307.5,0
27.0136,92.6351,25.6,0.461,231.0,112.5,1
28.8254,96.1517,22.9,0.428,3589.0,250.5,0
23.7313,92.7187,10.7,0.423,1039.0,67.5,0
27.3746,88.7648,12.4,0.425,3751.0,112.5,0
27.8837,93.0515,17.7,0.42,1679.0,386.5,0
25.1175,92.8573,154.4,0.476,158.0,134.0,1
26.1309,91.8383,24.5,0.501,96.0,63.5,0
25.9703,91.8584,7.7,0.47,299.0,55.0,0
26.1978,91.7665,50.4,0.474,92.0,42.0,1
27.339,88.6065,20.3,0.418,1487.0,358.5,1
25.0477,92.801,9.3,0.462,184.0,385.0,1
27.172,88.5292,0.0,0.391,301.0,185.5,0
26.149,91.7351,46.1,0.482,52.0,33.5,1
27.0377,88.3603,109.7,0.426,1504.0,372.0,1
23.75406693,92.74128531,14.2,0.42,994.0,276.5,0
23.0137,91.7174,11.2,0.472,21.0,10.0,0
23.5397,93.3783,3.1,0.412,1582.0,286.0,0
26.1407,91.7645,27.8,0.492,61.0,77.0,1
25.31006064,94.48265093,16.9,0.466,1571.0,321.5,1
25.0118,94.3136,2.8,0.416,1372.0,183.0,0
25.7902,94.1318,17.9,0.478,1285.0,109.5,1
24.3069,93.125,13.9,0.424,719.0,297.0,1
26.1662,91.7138,21.7,0.494,165.0,133.5,0
25.48,94.1383,16.6,0.489,1721.0,125.0,1
27.3702,88.7334,16.7,0.426,3520.0,110.5,0
26.1324,91.8342,55.8,0.482,71.0,66.5,0
27.3765,88.7628,24.4,0.426,3764.0,103.0,1
27.3034,93.804,27.1,0.448,768.0,531.5,0
25.0951,92.3567,12.8,0.472,246.0,171.5,0
24.75,93.4333,1.4,0.405,546.0,387.0,1
26.0214,94.5224,27.3,0.487,1603.0,254.0,0
25.6237,94.1136,13.2,0.499,1610.0,291.0,1
23.5397,93.3783,3.1,0.412,1582.0,286.0,1
25.3098633,94.48214677,27.7,0.464,1559.0,327.5,0
26.1963,91.8074,10.0,0.492,196.0,39.5,0
24.1293,92.6921,16.7,0.422,825.0,80.0,0
24.416,94.0984,33.3,0.435,1347.0,160.5,0
25.0634,94.3415,52.0,0.453,1742.0,256.0,0
26.1961,91.7825,11.7,0.478,142.0,9.0,0
25.8702,94.7844,3.6,0.488,1129.0,161.5,0
26.1665,91.7049,24.5,0.483,231.0,9.5,1
27.163,94.0,10.8,0.413,95.0,4.0,1
26.1868,91.6739,35.3,0.473,50.0,5.5,1
24.7016,93.5291,4.7,0.413,664.0,262.0,0
27.339,88.6065,20.3,0.418,1487.0,358.5,0
26.1964,91.7652,4.5,0.454,78.0,54.0,1
25.0633,92.8025,12.2,0.497,91.0,92.0,0
23.3572,92.7878,7.6,0.415,1372.0,214.5,0
26.09748244,91.8744337,34.5,0.478,188.0,121.0,0
28.0822,96.5316,7.0,0.422,543.0,103.0,0
25.1796,93.0083,57.9,0.487,696.0,63.5,1
27.3543,88.6428,3.5,0.404,2126.0,471.0,0
27.1695,88.3664,2.1,0.412,1576.0,107.0,1
25.5098,93.8794,21.8,0.431,1642.0,392.0,0
23.7365,92.7146,17.2,0.422,1010.0,122.0,1
24.0896,91.4663,57.9,0.429,107.0,19.5,0
25.0634,94.3415,52.0,0.453,1742.0,256.0,1
25.1416,92.3807,51.9,0.466,172.0,242.5,1
23.75406693,92.74128531,14.2,0.42,994.0,276.5,1
27.05374234,88.42572376,140.2,0.431,287.0,148.0,0
24.5204,92.7264,28.0,0.42,40.0,8.5,1
25.0118,94.3136,2.8,0.416,1372.0,183.0,1
26.1844,91.7896,27.8,0.477,64.0,15.0,0
26.3333,91.25,0.0,0.456,42.0,2.5,0
27.2298,94.0989,1.8,0.395,95.0,3.5,1
27.3721,88.708,16.4,0.428,3172.0,484.0,1
27.337,88.609,76.1,0.432,1535.0,335.5,1
22.7176,92.8416,19.6,0.426,761.0,195.0,1
25.5215,93.1645,2.7,0.465,279.0,13.5,1
27.163,94.0,10.8,0.413,95.0,4.0,0
25.2193,90.5549,58.0,0.479,249.0,73.5,1
24.5202,92.7239,28.0,0.42,39.0,4.5,1
25.1775,93.0123,183.9,0.48,646.0,79.5,0
23.9278,94.0906,16.4,0.489,909.0,162.5,1
25.0477,92.801,9.3,0.462,184.0,385.0,0
25.5772,91.8666,125.6,0.487,1469.0,170.5,1
26.1016,91.6906,29.0,0.491,109.0,147.5,1
26.0214,94.5224,27.3,0.487,1603.0,254.0,1
24.9356,93.8443,10.0,0.473,850.0,56.0,0
24.7339,93.9161,2.5,0.176,886.0,2.5,1
25.6263,94.1057,39.7,0.474,1546.0,231.0,1
27.1667,88.35,25.2,0.426,1162.0,447.0,0
26.1985,91.7998,55.8,0.485,92.0,73.0,0
25.4749,93.1477,36.5,0.484,152.0,22.0,1
22.479,92.967,0.8,0.394,472.0,355.0,1
23.7269,92.7265,4.1,0.415,898.0,143.0,1
27.6438,93.871,11.6,0.423,1682.0,355.0,1
24.4072,94.0644,33.3,0.435,1148.0,123.0,1
23.3439,93.0748,18.8,0.426,1376.0,141.5,1
23.8447,93.0514,15.3,0.421,1053.0,163.5,1
24.3481,94.1146,17.3,0.435,995.0,103.0,0
24.3527,94.3429,25.7,0.447,285.0,128.5,0
25.0888,92.8551,17.3,0.48,244.0,253.0,1
25.0672,93.4093,35.0,0.426,460.0,214.5,0
23.899,94.1434,15.0,0.489,269.0,90.0,1
25.0888,92.8551,17.3,0.48,244.0,253.0,0
25.1333,93.9667,7.5,0.483,1009.0,32.0,1
23.74182634,92.7141905,14.2,0.421,929.0,100.0,0
26.1226,91.7162,53.8,0.481,122.0,95.5,1
28.9205,95.3429,9.2,0.424,4060.0,41.5,0
26.1666,91.7042,30.3,0.465,231.0,9.5,1
26.3333,91.25,0.0,0.456,42.0,2.5,1
25.16,93.686,1.8,0.401,1089.0,313.0,0
27.0377,88.3603,109.7,0.426,1504.0,372.0,0
27.0869,93.6086,3.2,0.496,312.0,151.0,0
25.426,94.6024,0.0,0.371,1311.0,150.0,0
27.3425,88.6236,26.5,0.429,2102.0,290.0,0
23.7269,92.7265,4.1,0.415,898.0,143.0,0
25.1604,93.6795,1.1,0.297,1065.0,262.5,0
26.1097,91.7747,37.1,0.482,60.0,75.0,0
25.1718,93.123,7.3,0.488,693.0,71.0,1
26.1295,91.7056,55.8,0.482,130.0,59.5,0
27.2298,94.0989,1.8,0.395,95.0,3.5,0
24.3069,93.125,13.9,0.424,719.0,297.0,0
26.1964,91.7652,4.5,0.454,78.0,54.0,0
27.1499,88.38,17.3,0.416,1099.0,383.5,0
26.1833,91.8,6.7,0.485,67.0,7.0,1
25.7238,89.9032,7.1,0.41,30.0,29.5,0
23.7131,92.7362,8.6,0.396,879.0,212.0,1
27.3034,93.804,27.1,0.448,768.0,531.5,1
24.2315,92.6755,47.1,0.419,680.0,83.0,0
26.09748244,91.8744337,34.5,0.478,188.0,121.0,1
24.837,93.9128,25.3,0.481,813.0,109.5,1
23.7705,92.5217,0.0,0.365,69.0,143.5,1
24.9829,93.5063,3.7,0.397,1284.0,181.0,1
24.004,93.9815,16.4,0.431,1496.0,355.5,1
24.8628,94.4182,12.3,0.423,922.0,328.0,0
28.8254,96.1517,22.9,0.428,3589.0,250.5,1
28.235,94.9612,22.2,0.428,251.0,137.5,0
24.2451,94.0691,4.1,0.434,1349.0,228.0,0
24.1419,94.1078,17.3,0.473,1187.0,150.0,0
23.7281,92.7175,6.4,0.397,1080.0,44.5,1
27.167,88.3652,34.6,0.423,1516.0,14.5,1
