event_id,date,state,latitude,longitude,rainfall_24h,soil_moisture,landslide
non_8684,2016-06-22,Assam,25.9611,91.3681,27.2,0.471,0
non_3560,2011-05-16,Manipur,24.8286,93.5935,23.2,0.442,0
6286,2014-09-22,Assam,26.1044,91.7082,37.1,0.482,1
4446,2012-07-05,Arunachal Pradesh,28.9986,94.8885,69.1,0.429,1
8930,2016-07-11,Nagaland,26.1699,94.4922,10.2,0.482,1
non_7699,2015-08-04,Nagaland,26.0214,94.5224,27.3,0.487,0
6284,2014-09-22,Assam,26.1324,91.8342,55.8,0.482,1
non_6775,2015-02-04,Assam,26.1468,91.6469,0.3,0.249,0
9619,2016-10-15,Sikkim,27.1695,88.3664,2.1,0.412,1
3830,2011-07-22,Manipur,24.3527,94.3429,25.7,0.447,1
2422,2010-09-13,Mizoram,23.74182634,92.7141905,14.2,0.421,1
2164,2010-07-29,Manipur,25.3098633,94.48214677,27.7,0.464,1
4382,2012-06-03,Assam,25.1175,92.8573,154.4,0.476,1
non_4552,2012-08-25,Sikkim,27.0377,88.3603,109.7,0.426,0
587,2008-06-15,Assam,27.2298,94.0989,1.8,0.395,1
7383,2015-08-01,Manipur,23.899,94.1434,15.0,0.489,1
7836,2015-08-27,Mizoram,24.042,92.6724,6.8,0.417,1
6290,2014-09-23,Meghalaya,25.5772,91.8666,125.6,0.487,1
non_3805,2011-06-19,Sikkim,27.05374234,88.42572376,140.2,0.431,0
3532,2011-05-24,Assam,25.0888,92.8551,17.3,0.48,1
9338,2016-05-18,Assam,24.4638,92.4943,31.7,0.427,1
1222,2009-10-05,Mizoram,23.73478778,92.72124394,28.3,0.427,1
1108,2009-08-20,Assam,24.9925,93.5,9.4,0.426,1
non_6945,2015-07-04,Manipur,25.16,93.686,1.8,0.401,0
6513,2014-08-14,Tripura,23.0137,91.7174,11.2,0.472,1
non_9122,2016-07-10,Assam,26.1966,91.802,19.0,0.475,0
non_5250,2013-07-12,Arunachal Pradesh,27.8837,93.0515,17.7,0.42,0
non_8900,2016-07-17,Manipur,25.0118,94.3136,2.8,0.416,0
non_1987,2010-05-26,Assam,25.2269,93.1658,8.1,0.468,0
4990,2013-06-27,Sikkim,27.3765,88.7628,24.4,0.426,1
7263,2015-07-22,Manipur,25.4477,94.0489,21.8,0.429,1
non_7409,2015-07-13,Nagaland,25.72,94.6219,4.4,0.489,0
256,2007-09-10,Sikkim,27.3425,88.6236,26.5,0.429,1
non_5431,2013-08-22,Assam,24.9829,93.5063,3.7,0.397,0
non_7371,2015-07-22,Manipur,23.9939,94.0573,16.4,0.465,0
non_2296,2010-08-30,Sikkim,27.167,88.3652,34.6,0.423,0
1994,2010-06-16,Assam,25.0633,92.8025,12.2,0.497,1
non_7385,2015-08-16,Manipur,24.004,93.9815,16.4,0.431,0
non_4424,2012-06-30,Assam,26.149,91.7351,46.1,0.482,0
non_8339,2015-10-08,Assam,26.1666,91.7042,30.3,0.465,0
non_9124,2016-07-04,Meghalaya,25.203,90.5573,16.6,0.466,0
non_5552,2013-09-14,Manipur,25.0985,94.3619,5.7,0.399,0
7253,2015-07-22,Assam,24.7979,92.9974,37.5,0.456,1
non_9252,2016-08-27,Arunachal Pradesh,27.5748,91.8644,8.4,0.42,0
non_1109,2009-08-30,Assam,25.5215,93.1645,2.7,0.465,0
755,2008-08-28,Sikkim,27.337,88.609,76.1,0.432,1
6969,2015-06-16,Meghalaya,25.5114,90.215,24.4,0.476,1
non_5338,2013-08-26,Assam,26.8727,94.9275,16.4,0.443,0
9464,2016-08-05,Arunachal Pradesh,27.5754,91.9754,6.8,0.414,1
non_594,2008-07-04,Manipur,24.9336,93.8275,15.6,0.47,0
7276,2015-07-25,Assam,26.1062,91.8717,1.3,0.481,1
1770,2010-04-20,Assam,26.1965,91.763,50.4,0.474,1
non_1129,2009-09-09,Manipur,24.8628,94.4182,12.3,0.423,0
non_251,2007-09-29,Sikkim,27.1667,88.35,25.2,0.426,0
non_1954,2010-06-22,Manipur,24.7543,93.5039,10.2,0.416,0
non_9142,2016-05-30,Nagaland,26.3185,94.5247,10.3,0.459,0
non_4384,2012-05-24,Assam,25.1775,93.0123,183.9,0.48,0
non_4434,2012-06-15,Assam,26.1049,91.7369,36.9,0.485,0
non_7666,2015-07-22,Manipur,25.1019,93.3729,3.6,0.467,0
non_7836,2015-08-07,Mizoram,24.042,92.6724,6.8,0.417,0
non_6289,2014-10-02,Assam,26.1001,91.6849,37.1,0.482,0
7364,2015-07-31,Manipur,24.819,94.3551,63.1,0.429,1
2113,2010-07-21,Sikkim,27.3773,88.559,53.9,0.429,1
non_4378,2012-05-23,Arunachal Pradesh,28.8254,96.1517,22.9,0.428,0
5431,2013-09-01,Assam,24.9829,93.5063,3.7,0.397,1
130,2007-07-19,Assam,26.1699,91.7986,12.5,0.475,1
non_9464,2016-08-25,Arunachal Pradesh,27.5754,91.9754,6.8,0.414,0
6105,2014-06-26,Arunachal Pradesh,28.9205,95.3429,9.2,0.424,1
non_7383,2015-08-21,Manipur,23.899,94.1434,15.0,0.489,0
non_6969,2015-06-26,Meghalaya,25.5114,90.215,24.4,0.476,0
2421,2010-09-13,Mizoram,23.75406693,92.74128531,14.2,0.42,1
1987,2010-06-15,Assam,25.2269,93.1658,8.1,0.468,1
non_8930,2016-08-10,Nagaland,26.1699,94.4922,10.2,0.482,0
non_3965,2011-08-22,Assam,24.808,93.117,8.9,0.421,0
4403,2012-06-10,Manipur,24.8142,93.5444,11.4,0.412,1
255,2007-09-10,Manipur,24.2451,94.0691,4.1,0.434,1
non_8996,2016-06-24,Assam,26.1768,91.7702,10.0,0.492,0
non_1771,2010-04-30,Assam,26.1978,91.7665,50.4,0.474,0
3983,2011-09-23,Assam,26.1548,91.7351,12.4,0.492,1
non_1222,2009-09-15,Mizoram,23.73478778,92.72124394,28.3,0.427,0
non_7375,2015-07-02,Manipur,25.1941,94.4481,8.4,0.446,0
6289,2014-09-22,Assam,26.1001,91.6849,37.1,0.482,1
6291,2014-09-21,Meghalaya,25.7354,90.3852,10.1,0.463,1
126,2007-07-16,Sikkim,27.1499,88.38,17.3,0.416,1
7369,2015-08-01,Manipur,24.1988,94.1016,17.3,0.428,1
6786,2015-02-19,Assam,24.6108,92.562,0.7,0.132,1
4857,2013-05-11,Mizoram,23.7281,92.7175,6.4,0.397,1
non_6286,2014-08-23,Assam,26.1044,91.7082,37.1,0.482,0
4241,2012-03-04,Manipur,25.1604,93.6795,1.1,0.297,1
non_2420,2010-10-13,Mizoram,23.72988966,92.71495623,14.2,0.421,0
3831,2011-07-22,Manipur,24.7992,93.948,11.0,0.486,1
non_7138,2015-06-17,Sikkim,27.0816,88.4397,2.6,0.408,0
8223,2015-09-14,Mizoram,23.7348,92.7187,10.7,0.423,1
2436,2010-09-16,Mizoram,24.3069,93.125,13.9,0.424,1
non_1168,2009-09-02,Sikkim,27.1954,88.6115,11.8,0.412,0
9051,2016-07-19,Meghalaya,26.09748244,91.8744337,34.5,0.478,1
3837,2011-07-24,Assam,26.5836,93.0038,8.9,0.498,1
non_148,2007-07-20,Mizoram,22.479,92.967,0.8,0.394,0
9219,2016-07-26,Nagaland,26.0101,94.5282,1.5,0.459,1
7389,2015-08-01,Manipur,24.4072,94.0644,33.3,0.435,1
8901,2016-07-10,Nagaland,25.7902,94.1318,17.9,0.478,1
3556,2011-05-31,Manipur,25.1555,93.8474,93.7,0.428,1
7335,2015-08-18,Meghalaya,25.5145,90.2023,50.3,0.472,1
2253,2010-08-15,Manipur,25.31006064,94.48265093,16.9,0.466,1
non_6293,2014-11-19,Meghalaya,25.5006,90.0896,0.2,0.434,0
3662,2011-06-28,Manipur,25.03561729,94.0144205,8.6,0.476,1
7374,2015-08-01,Manipur,25.1122,94.3591,15.8,0.423,1
non_7387,2015-07-17,Manipur,24.954,94.2156,15.8,0.469,0
4394,2012-06-07,Sikkim,27.1748,88.6458,3.5,0.379,1
non_7589,2015-07-30,Meghalaya,25.2568,92.3825,51.9,0.476,0
non_3916,2011-08-03,Assam,25.7713,93.8067,26.6,0.466,0
8012,2015-09-06,Meghalaya,25.9703,91.8584,7.7,0.47,1
non_6016,2014-04-24,Assam,24.8669,92.3576,53.9,0.481,0
non_4382,2012-05-14,Assam,25.1175,92.8573,154.4,0.476,0
non_4845,2013-05-27,Mizoram,24.2315,92.6755,47.1,0.419,0
7031,2015-05-24,Sikkim,27.6163,88.6586,15.1,0.425,1
2570,2010-10-08,Manipur,24.837,93.9128,25.3,0.481,1
7264,2015-07-22,Manipur,25.4538,93.9827,21.8,0.44,1
3672,2011-06-29,Assam,25.5125,93.3613,3.7,0.449,1
non_4610,2012-10-12,Mizoram,23.7705,92.5217,0.0,0.365,0
non_6285,2014-09-02,Assam,26.159,91.8178,55.8,0.485,0
322,2007-10-21,Assam,24.75,93.4333,1.4,0.405,1
non_2568,2010-09-08,Assam,24.7679,93.4108,29.9,0.429,0
non_9168,2016-05-13,Arunachal Pradesh,27.6438,93.871,11.6,0.423,0
6016,2014-05-09,Assam,24.8669,92.3576,53.9,0.481,1
1127,2009-08-27,Assam,25.1718,93.123,7.3,0.488,1
non_1929,2010-05-01,Sikkim,27.3543,88.6428,3.5,0.404,0
non_9232,2016-07-18,Mizoram,23.5397,93.3783,3.1,0.412,0
3840,2011-07-25,Manipur,24.6869,93.9157,1.7,0.429,1
non_2345,2010-09-26,Sikkim,27.3392,88.6188,28.9,0.428,0
non_7336,2015-09-08,Meghalaya,25.2193,90.5549,58.0,0.479,0
148,2007-07-30,Mizoram,22.479,92.967,0.8,0.394,1
5343,2013-08-17,Assam,24.7625,93.4341,12.5,0.42,1
non_8223,2015-08-30,Mizoram,23.7348,92.7187,10.7,0.423,0
868,2008-10-29,Assam,26.3333,91.25,0.0,0.456,1
9169,2016-06-12,Nagaland,26.1677,94.2442,10.1,0.483,1
8237,2016-07-01,Arunachal Pradesh,27.0136,92.6351,25.6,0.461,1
non_264,2007-09-23,Assam,26.1833,91.8,6.7,0.485,0
1168,2009-09-17,Sikkim,27.1954,88.6115,11.8,0.412,1
220,2007-08-31,Manipur,25.1333,93.9667,7.5,0.483,1
7138,2015-07-07,Sikkim,27.0816,88.4397,2.6,0.408,1
non_147,2007-06-30,Mizoram,22.533,92.899,0.8,0.397,0
7728,2015-08-22,Assam,26.1028,91.8806,28.2,0.481,1
2182,2010-07-31,Manipur,24.9356,93.8443,10.0,0.473,1
non_6110,2014-06-12,Assam,26.1619,91.7697,7.1,0.489,0
non_7778,2015-08-16,Mizoram,23.8447,93.0514,15.3,0.421,0
non_6015,2014-05-28,Arunachal Pradesh,27.9032,96.174,51.3,0.486,0
non_3837,2011-08-03,Assam,26.5836,93.0038,8.9,0.498,0
251,2007-09-09,Sikkim,27.1667,88.35,25.2,0.426,1
non_7956,2015-08-26,Meghalaya,26.048,91.8695,3.5,0.492,0
2437,2010-09-16,Mizoram,23.7527,92.694,13.0,0.424,1
non_2570,2010-10-18,Manipur,24.837,93.9128,25.3,0.481,0
8339,2015-09-23,Assam,26.1666,91.7042,30.3,0.465,1
269,2007-09-18,Sikkim,27.2872,88.2816,3.0,0.409,1
4426,2012-06-22,Assam,26.1226,91.7162,53.8,0.481,1
non_4848,2013-05-18,Tripura,24.0896,91.4663,57.9,0.429,0
non_2436,2010-10-01,Mizoram,24.3069,93.125,13.9,0.424,0
non_5476,2013-09-27,Sikkim,27.3736,88.7323,1.4,0.406,0
2423,2010-09-13,Mizoram,23.73504471,92.71060943,14.2,0.421,1
6282,2014-09-22,Assam,26.1097,91.7747,37.1,0.482,1
5476,2013-09-07,Sikkim,27.3736,88.7323,1.4,0.406,1
9087,2016-07-19,Arunachal Pradesh,28.235,94.9612,22.2,0.428,1
1954,2010-06-07,Manipur,24.7543,93.5039,10.2,0.416,1
4858,2013-05-11,Assam,26.1662,91.7138,21.7,0.494,1
8224,2015-09-14,Mizoram,23.7313,92.7187,10.7,0.423,1
4411,2012-06-14,Sikkim,27.339,88.6065,20.3,0.418,1
2573,2010-10-09,Assam,25.1796,93.0083,57.9,0.487,1
8684,2016-07-07,Assam,25.9611,91.3681,27.2,0.471,1
non_2423,2010-08-29,Mizoram,23.73504471,92.71060943,14.2,0.421,0
1129,2009-08-30,Manipur,24.8628,94.4182,12.3,0.423,1
2426,2010-09-13,Mizoram,22.7176,92.8416,19.6,0.426,1
5312,2013-08-11,Assam,26.7103,94.693,26.4,0.473,1
5584,2013-10-06,Assam,26.1665,91.7049,24.5,0.483,1
7666,2015-08-11,Manipur,25.1019,93.3729,3.6,0.467,1
non_2166,2010-08-28,Assam,24.9786,93.5027,35.6,0.426,0
non_1756,2010-04-07,Sikkim,27.322,88.6087,4.7,0.388,0
non_545,2008-04-20,Assam,24.9849,92.8411,18.9,0.441,0
714,2008-08-14,Assam,27.163,94.0,10.8,0.413,1
non_7253,2015-07-12,Assam,24.7979,92.9974,37.5,0.456,0
non_255,2007-10-10,Manipur,24.2451,94.0691,4.1,0.434,0
non_1125,2009-07-27,Sikkim,27.3746,88.7648,12.4,0.425,0
non_8995,2016-06-24,Assam,26.1963,91.8074,10.0,0.492,0
non_7266,2015-07-12,Manipur,25.5098,93.8794,21.8,0.431,0
non_3794,2011-08-01,Sikkim,26.99195749,88.42280921,19.8,0.422,0
non_3831,2011-06-22,Manipur,24.7992,93.948,11.0,0.486,0
non_9336,2016-04-18,Assam,24.5308,92.5121,31.7,0.427,0
non_5429,2013-10-01,Sikkim,27.3425,88.2426,35.4,0.43,0
non_7335,2015-08-28,Meghalaya,25.5145,90.2023,50.3,0.472,0
6222,2014-10-01,Arunachal Pradesh,27.1249,93.7706,0.0,0.35,1
7956,2015-09-05,Meghalaya,26.048,91.8695,3.5,0.492,1
4556,2012-09-16,Sikkim,27.1675,88.3651,70.3,0.434,1
non_7590,2015-09-18,Meghalaya,25.1416,92.3807,51.9,0.466,0
9122,2016-07-20,Assam,26.1966,91.802,19.0,0.475,1
non_6990,2015-05-25,Nagaland,26.0319,94.5466,15.6,0.471,0
non_6222,2014-10-31,Arunachal Pradesh,27.1249,93.7706,0.0,0.35,0
4552,2012-09-14,Sikkim,27.0377,88.3603,109.7,0.426,1
5603,2013-10-13,Manipur,25.426,94.6024,0.0,0.371,1
1935,2010-06-03,Tripura,23.8986,91.7599,6.2,0.41,1
non_78,2007-04-23,Sikkim,27.3383,88.6069,15.8,0.425,0
9405,2016-04-19,Nagaland,26.7223,95.0243,36.6,0.485,1
non_5603,2013-11-12,Manipur,25.426,94.6024,0.0,0.371,0
non_9251,2016-07-13,Nagaland,25.8702,94.7844,3.6,0.488,0
non_4798,2013-03-08,Arunachal Pradesh,28.8254,96.1509,0.7,0.386,0
4859,2013-05-11,Assam,26.1771,91.7599,21.7,0.485,1
7706,2015-08-19,Meghalaya,25.0728,92.3636,66.6,0.466,1
6945,2015-06-19,Manipur,25.16,93.686,1.8,0.401,1
non_2182,2010-08-20,Manipur,24.9356,93.8443,10.0,0.473,0
7388,2015-08-01,Manipur,24.416,94.0984,33.3,0.435,1
non_3830,2011-08-06,Manipur,24.3527,94.3429,25.7,0.447,0
147,2007-07-30,Mizoram,22.533,92.899,0.8,0.397,1
non_6290,2014-09-03,Meghalaya,25.5772,91.8666,125.6,0.487,0
1125,2009-08-26,Sikkim,27.3746,88.7648,12.4,0.425,1
3965,2011-09-06,Assam,24.808,93.117,8.9,0.421,1
2344,2010-08-27,Assam,24.7505,93.4221,8.1,0.419,1
non_7214,2015-08-14,Arunachal Pradesh,27.36,93.0385,88.3,0.427,0
213,2007-08-26,Assam,25.2946,92.8339,77.9,0.491,1
non_4411,2012-05-30,Sikkim,27.339,88.6065,20.3,0.418,0
non_256,2007-09-20,Sikkim,27.3425,88.6236,26.5,0.429,0
non_4377,2012-05-13,Assam,26.1475,91.7356,19.2,0.488,0
6970,2015-06-16,Meghalaya,25.5084,90.2191,24.4,0.476,1
non_9335,2016-04-28,Assam,24.5202,92.7239,28.0,0.42,0
non_213,2007-08-16,Assam,25.2946,92.8339,77.9,0.491,0
6963,2015-06-19,Mizoram,23.7131,92.7362,8.6,0.396,1
non_7923,2015-09-11,Assam,26.49349035,91.72137514,12.3,0.486,0
7590,2015-08-19,Meghalaya,25.1416,92.3807,51.9,0.466,1
non_2421,2010-09-28,Mizoram,23.75406693,92.74128531,14.2,0.42,0
non_7265,2015-07-02,Manipur,25.5007,93.9854,21.8,0.44,0
6292,2014-09-23,Assam,25.7238,89.9032,7.1,0.41,1
non_714,2008-08-29,Assam,27.163,94.0,10.8,0.413,0
7699,2015-08-19,Nagaland,26.0214,94.5224,27.3,0.487,1
7923,2015-09-01,Assam,26.49349035,91.72137514,12.3,0.486,1
6213,2014-09-24,Meghalaya,25.8143,90.5763,4.7,0.467,1
non_8012,2015-09-21,Meghalaya,25.9703,91.8584,7.7,0.47,0
7664,2015-08-11,Manipur,24.7459,93.4251,4.7,0.415,1
non_9404,2016-05-21,Arunachal Pradesh,28.0822,96.5316,7.0,0.422,0
4407,2012-06-13,Assam,25.0951,92.3567,12.8,0.472,1
4798,2013-04-07,Arunachal Pradesh,28.8254,96.1509,0.7,0.386,1
7409,2015-08-02,Nagaland,25.72,94.6219,4.4,0.489,1
2574,2010-10-09,Assam,25.4749,93.1477,36.5,0.484,1
non_6970,2015-07-16,Meghalaya,25.5084,90.2191,24.4,0.476,0
non_7279,2015-07-14,Manipur,24.9818,93.5142,20.2,0.427,0
non_6287,2014-10-22,Assam,26.1295,91.7056,55.8,0.482,0
non_258,2007-10-01,Manipur,24.4279,94.0564,5.0,0.432,0
non_6963,2015-07-19,Mizoram,23.7131,92.7362,8.6,0.396,0
non_285,2007-10-09,Mizoram,24.1293,92.6921,16.7,0.422,0
7265,2015-07-22,Manipur,25.5007,93.9854,21.8,0.44,1
non_8237,2016-06-11,Arunachal Pradesh,27.0136,92.6351,25.6,0.461,0
4384,2012-06-03,Assam,25.1775,93.0123,183.9,0.48,1
non_8366,2015-10-23,Meghalaya,25.583,91.893,50.4,0.483,0
6214,2014-10-05,Meghalaya,25.9702,91.8587,0.0,0.438,1
6200,2014-08-17,Arunachal Pradesh,27.0869,93.6086,3.2,0.496,1
non_7655,2016-05-22,Arunachal Pradesh,27.5799,91.8569,29.8,0.427,0
non_7263,2015-07-02,Manipur,25.4477,94.0489,21.8,0.429,0
non_6513,2014-09-13,Tripura,23.0137,91.7174,11.2,0.472,0
non_7727,2015-08-30,Nagaland,25.6263,94.1057,39.7,0.474,0
non_9219,2016-07-16,Nagaland,26.0101,94.5282,1.5,0.459,0
non_2567,2010-10-18,Manipur,25.6633,94.4703,26.2,0.49,0
non_8224,2015-09-29,Mizoram,23.7313,92.7187,10.7,0.423,0
non_126,2007-07-06,Sikkim,27.1499,88.38,17.3,0.416,0
non_7276,2015-07-10,Assam,26.1062,91.8717,1.3,0.481,0
7933,2015-09-01,Assam,26.1868,91.6739,35.3,0.473,1
4845,2013-05-07,Mizoram,24.2315,92.6755,47.1,0.419,1
non_5584,2013-11-05,Assam,26.1665,91.7049,24.5,0.483,0
non_1935,2010-05-24,Tripura,23.8986,91.7599,6.2,0.41,0
non_6106,2014-07-26,Assam,26.1407,91.7645,27.8,0.492,0
non_9010,2016-06-26,Arunachal Pradesh,27.3034,93.804,27.1,0.448,0
non_1127,2009-08-12,Assam,25.1718,93.123,7.3,0.488,0
6331,2014-09-08,Nagaland,25.9466,94.6279,5.4,0.5,1
non_7780,2015-08-16,Mizoram,23.3572,92.7878,7.6,0.415,0
7266,2015-07-22,Manipur,25.5098,93.8794,21.8,0.431,1
6107,2014-06-26,Assam,26.1844,91.7896,27.8,0.477,1
2425,2010-09-13,Mizoram,23.3439,93.0748,18.8,0.426,1
non_5343,2013-07-28,Assam,24.7625,93.4341,12.5,0.42,0
9010,2016-07-16,Arunachal Pradesh,27.3034,93.804,27.1,0.448,1
7372,2015-07-31,Manipur,25.0634,94.3415,52.0,0.453,1
6110,2014-06-27,Assam,26.1619,91.7697,7.1,0.489,1
non_4859,2013-04-11,Assam,26.1771,91.7599,21.7,0.485,0
4383,2012-06-03,Assam,25.3056,93.1265,148.6,0.476,1
non_4241,2012-02-03,Manipur,25.1604,93.6795,1.1,0.297,0
non_6968,2015-07-03,Meghalaya,25.463,92.2121,40.2,0.466,0
7727,2015-08-20,Nagaland,25.6263,94.1057,39.7,0.474,1
non_1755,2010-04-27,Sikkim,27.3341,88.6083,4.7,0.388,0
non_4861,2013-05-27,Assam,24.9926,93.4946,4.4,0.423,0
6285,2014-09-22,Assam,26.159,91.8178,55.8,0.485,1
non_7910,2015-07-12,Manipur,24.3481,94.1146,17.3,0.435,0
non_6291,2014-09-01,Meghalaya,25.7354,90.3852,10.1,0.463,0
5429,2013-09-01,Sikkim,27.3425,88.2426,35.4,0.43,1
non_220,2007-08-16,Manipur,25.1333,93.9667,7.5,0.483,0
5430,2013-09-01,Manipur,24.9037,93.487,3.7,0.397,1
non_269,2007-09-03,Sikkim,27.2872,88.2816,3.0,0.409,0
285,2007-09-29,Mizoram,24.1293,92.6921,16.7,0.422,1
non_2392,2010-09-19,Sikkim,27.3702,88.7334,16.7,0.426,0
1771,2010-04-20,Assam,26.1978,91.7665,50.4,0.474,1
7837,2015-08-27,Mizoram,23.7269,92.7265,4.1,0.415,1
7591,2015-03-19,Assam,25.0318,92.4584,0.0,0.256,1
non_9087,2016-08-08,Arunachal Pradesh,28.235,94.9612,22.2,0.428,0
3916,2011-08-13,Assam,25.7713,93.8067,26.6,0.466,1
1112,2009-08-20,Sikkim,27.1761,88.5287,43.3,0.426,1
6990,2015-06-24,Nagaland,26.0319,94.5466,15.6,0.471,1
2575,2010-10-09,Assam,25.5242,92.9914,44.6,0.482,1
1934,2010-06-03,Assam,24.6005,92.3814,3.1,0.452,1
7371,2015-08-01,Manipur,23.9939,94.0573,16.4,0.465,1
non_8222,2016-06-12,Assam,26.1961,91.7825,11.7,0.478,0
non_4403,2012-05-21,Manipur,24.8142,93.5444,11.4,0.412,0
7384,2015-08-01,Manipur,23.9278,94.0906,16.4,0.489,1
9251,2016-07-28,Nagaland,25.8702,94.7844,3.6,0.488,1
5338,2013-08-16,Assam,26.8727,94.9275,16.4,0.443,1
9336,2016-05-18,Assam,24.5308,92.5121,31.7,0.427,1
non_6292,2014-10-23,Assam,25.7238,89.9032,7.1,0.41,0
non_6200,2014-07-18,Arunachal Pradesh,27.0869,93.6086,3.2,0.496,0
4860,2013-05-11,Assam,26.1016,91.6906,29.0,0.491,1
3525,2011-05-22,Assam,25.0672,93.4093,35.0,0.426,1
non_7591,2015-02-27,Assam,25.0318,92.4584,0.0,0.256,0
non_1934,2010-05-24,Assam,24.6005,92.3814,3.1,0.452,0
9252,2016-07-28,Arunachal Pradesh,27.5748,91.8644,8.4,0.42,1
non_9051,2016-06-29,Meghalaya,26.09748244,91.8744337,34.5,0.478,0
non_322,2007-10-11,Assam,24.75,93.4333,1.4,0.405,0
non_2426,2010-08-24,Mizoram,22.7176,92.8416,19.6,0.426,0
5552,2013-09-24,Manipur,25.0985,94.3619,5.7,0.399,1
non_7031,2015-05-09,Sikkim,27.6163,88.6586,15.1,0.425,0
non_5312,2013-07-22,Assam,26.7103,94.693,26.4,0.473,0
9404,2016-05-01,Arunachal Pradesh,28.0822,96.5316,7.0,0.422,1
4861,2013-05-12,Assam,24.9926,93.4946,4.4,0.423,1
non_4860,2013-05-31,Assam,26.1016,91.6906,29.0,0.491,0
4610,2012-11-11,Mizoram,23.7705,92.5217,0.0,0.365,1
non_580,2008-05-30,Manipur,24.6596,93.9784,8.6,0.489,0
7655,2016-04-22,Arunachal Pradesh,27.5799,91.8569,29.8,0.427,1
7589,2015-08-19,Meghalaya,25.2568,92.3825,51.9,0.476,1
non_3525,2011-06-06,Assam,25.0672,93.4093,35.0,0.426,0
7390,2015-08-01,Manipur,24.4265,94.1913,16.6,0.424,1
7780,2015-08-26,Mizoram,23.3572,92.7878,7.6,0.415,1
9335,2016-05-18,Assam,24.5202,92.7239,28.0,0.42,1
2392,2010-09-04,Sikkim,27.3702,88.7334,16.7,0.426,1
non_3672,2011-07-19,Assam,25.5125,93.3613,3.7,0.449,0
non_7701,2015-09-03,Nagaland,25.6278,94.1051,22.4,0.478,0
1929,2010-05-31,Sikkim,27.3543,88.6428,3.5,0.404,1
non_2425,2010-08-24,Mizoram,23.3439,93.0748,18.8,0.426,0
7385,2015-08-01,Manipur,24.004,93.9815,16.4,0.431,1
non_7389,2015-08-21,Manipur,24.4072,94.0644,33.3,0.435,0
7387,2015-08-01,Manipur,24.954,94.2156,15.8,0.469,1
non_1611,2010-03-02,Assam,25.1553,93.028,15.3,0.481,0
non_9169,2016-05-23,Nagaland,26.1677,94.2442,10.1,0.483,0
3738,2011-07-06,Manipur,24.8063,93.9482,0.8,0.487,1
non_1770,2010-05-20,Assam,26.1965,91.763,50.4,0.474,0
7660,2015-08-12,Nagaland,25.6237,94.1136,13.2,0.499,1
6283,2014-09-22,Assam,26.1314,91.7548,55.8,0.482,1
9142,2016-06-14,Nagaland,26.3185,94.5247,10.3,0.459,1
7334,2015-08-18,Arunachal Pradesh,28.1737,94.7596,44.4,0.429,1
