event_id,date,admin_division_name,latitude,longitude,landslide_category,landslide_trigger,landslide_size
2283,2010-08-19,Manipur,24.8961,93.4957,mudslide,downpour,medium
4552,2012-09-14,Sikkim,27.0377,88.3603,landslide,downpour,medium
6016,2014-05-09,Assam,24.8669,92.3576,landslide,rain,small
7780,2015-08-26,Mizoram,23.3572,92.7878,landslide,continuous_rain,medium
6283,2014-09-22,Assam,26.1314,91.7548,landslide,rain,small
8930,2016-07-11,Nagaland,26.1699,94.4922,landslide,unknown,large
869,2008-10-29,Assam,27.2333,94.1167,landslide,downpour,medium
285,2007-09-29,Mizoram,24.1293,92.6921,landslide,rain,medium
3662,2011-06-28,Manipur,25.03561729,94.0144205,landslide,rain,medium
8339,2015-09-23,Assam,26.1666,91.7042,landslide,continuous_rain,medium
9186,2016-07-25,Manipur,25.48,94.1383,landslide,continuous_rain,medium
7253,2015-07-22,Assam,24.7979,92.9974,landslide,continuous_rain,medium
6286,2014-09-22,Assam,26.1044,91.7082,landslide,rain,small
594,2008-06-19,Manipur,24.9336,93.8275,mudslide,monsoon,medium
7383,2015-08-01,Manipur,23.899,94.1434,landslide,rain,medium
8900,2016-07-07,Manipur,25.0118,94.3136,landslide,monsoon,large
7666,2015-08-11,Manipur,25.1019,93.3729,landslide,continuous_rain,medium
2113,2010-07-21,Sikkim,27.3773,88.559,landslide,downpour,medium
7701,2015-08-19,Nagaland,25.6278,94.1051,landslide,continuous_rain,medium
2422,2010-09-13,Mizoram,23.74182634,92.7141905,landslide,downpour,medium
6513,2014-08-14,Tripura,23.0137,91.7174,mudslide,downpour,medium
4990,2013-06-27,Sikkim,27.3765,88.7628,landslide,downpour,medium
6106,2014-06-26,Assam,26.1407,91.7645,landslide,continuous_rain,small
3965,2011-09-06,Assam,24.808,93.117,landslide,rain,medium
6969,2015-06-16,Meghalaya,25.5114,90.215,landslide,downpour,medium
8684,2016-07-07,Assam,25.9611,91.3681,landslide,continuous_rain,medium
1596,2010-03-27,Manipur,24.7339,93.9161,mudslide,downpour,medium
1771,2010-04-20,Assam,26.1978,91.7665,landslide,downpour,medium
7364,2015-07-31,Manipur,24.819,94.3551,landslide,continuous_rain,medium
6968,2015-06-13,Meghalaya,25.463,92.2121,landslide,continuous_rain,medium
7373,2015-08-01,Manipur,24.9111,94.4759,landslide,continuous_rain,medium
1935,2010-06-03,Tripura,23.8986,91.7599,landslide,downpour,medium
7276,2015-07-25,Assam,26.1062,91.8717,landslide,continuous_rain,medium
6293,2014-10-20,Meghalaya,25.5006,90.0896,landslide,rain,medium
4858,2013-05-11,Assam,26.1662,91.7138,landslide,rain,medium
6284,2014-09-22,Assam,26.1324,91.8342,landslide,rain,small
4394,2012-06-07,Sikkim,27.1748,88.6458,landslide,rain,large
9251,2016-07-28,Nagaland,25.8702,94.7844,landslide,downpour,medium
7699,2015-08-19,Nagaland,26.0214,94.5224,landslide,continuous_rain,medium
7664,2015-08-11,Manipur,24.7459,93.4251,landslide,continuous_rain,medium
7589,2015-08-19,Meghalaya,25.2568,92.3825,landslide,rain,medium
7887,2015-08-16,Arunachal Pradesh,27.8835,96.9262,landslide,continuous_rain,medium
9404,2016-05-01,Arunachal Pradesh,28.0822,96.5316,landslide,downpour,medium
6287,2014-09-22,Assam,26.1295,91.7056,landslide,rain,small
2296,2010-08-20,Sikkim,27.167,88.3652,complex,downpour,medium
1125,2009-08-26,Sikkim,27.3746,88.7648,landslide,rain,medium
8995,2016-07-14,Assam,26.1963,91.8074,landslide,monsoon,small
2567,2010-10-08,Manipur,25.6633,94.4703,complex,downpour,medium
3794,2011-07-17,Sikkim,26.99195749,88.42280921,landslide,rain,medium
6285,2014-09-22,Assam,26.159,91.8178,landslide,rain,small
868,2008-10-29,Assam,26.3333,91.25,landslide,downpour,medium
5476,2013-09-07,Sikkim,27.3736,88.7323,landslide,rain,medium
1127,2009-08-27,Assam,25.1718,93.123,landslide,downpour,medium
5603,2013-10-13,Manipur,25.426,94.6024,mudslide,downpour,medium
7933,2015-09-01,Assam,26.1868,91.6739,rock_fall,rain,medium
3837,2011-07-24,Assam,26.5836,93.0038,landslide,downpour,medium
220,2007-08-31,Manipur,25.1333,93.9667,landslide,rain,medium
7372,2015-07-31,Manipur,25.0634,94.3415,mudslide,continuous_rain,medium
2570,2010-10-08,Manipur,24.837,93.9128,landslide,downpour,medium
126,2007-07-16,Sikkim,27.1499,88.38,mudslide,rain,medium
1168,2009-09-17,Sikkim,27.1954,88.6115,landslide,rain,medium
714,2008-08-14,Assam,27.163,94.0,landslide,rain,medium
6110,2014-06-27,Assam,26.1619,91.7697,landslide,rain,small
247,2007-09-08,Manipur,25.0604,93.9877,landslide,rain,medium
4407,2012-06-13,Assam,25.0951,92.3567,landslide,downpour,medium
6292,2014-09-23,Assam,25.7238,89.9032,landslide,continuous_rain,small
545,2008-05-20,Assam,24.9849,92.8411,mudslide,mining,medium
7265,2015-07-22,Manipur,25.5007,93.9854,landslide,continuous_rain,medium
2436,2010-09-16,Mizoram,24.3069,93.125,landslide,downpour,medium
7727,2015-08-20,Nagaland,25.6263,94.1057,landslide,continuous_rain,medium
7334,2015-08-18,Arunachal Pradesh,28.1737,94.7596,landslide,unknown,medium
6200,2014-08-17,Arunachal Pradesh,27.0869,93.6086,landslide,downpour,large
7778,2015-08-26,Mizoram,23.8447,93.0514,mudslide,continuous_rain,medium
6290,2014-09-23,Meghalaya,25.5772,91.8666,landslide,continuous_rain,small
4403,2012-06-10,Manipur,24.8142,93.5444,landslide,downpour,very_large
5429,2013-09-01,Sikkim,27.3425,88.2426,landslide,downpour,medium
2140,2010-07-25,Assam,25.0477,92.801,landslide,downpour,medium
9142,2016-06-14,Nagaland,26.3185,94.5247,landslide,continuous_rain,medium
6107,2014-06-26,Assam,26.1844,91.7896,landslide,continuous_rain,small
255,2007-09-10,Manipur,24.2451,94.0691,landslide,rain,medium
7660,2015-08-12,Nagaland,25.6237,94.1136,mudslide,continuous_rain,medium
4556,2012-09-16,Sikkim,27.1675,88.3651,landslide,downpour,medium
7389,2015-08-01,Manipur,24.4072,94.0644,landslide,continuous_rain,medium
2437,2010-09-16,Mizoram,23.7527,92.694,landslide,downpour,medium
7371,2015-08-01,Manipur,23.9939,94.0573,landslide,continuous_rain,medium
7923,2015-09-01,Assam,26.49349035,91.72137514,landslide,rain,medium
2182,2010-07-31,Manipur,24.9356,93.8443,landslide,rain,medium
1954,2010-06-07,Manipur,24.7543,93.5039,landslide,rain,medium
6963,2015-06-19,Mizoram,23.7131,92.7362,landslide,rain,medium
7590,2015-08-19,Meghalaya,25.1416,92.3807,landslide,rain,small
1222,2009-10-05,Mizoram,23.73478778,92.72124394,landslide,downpour,medium
8222,2016-06-22,Assam,26.1961,91.7825,mudslide,downpour,medium
7706,2015-08-19,Meghalaya,25.0728,92.3636,landslide,rain,medium
9620,2016-10-15,Sikkim,27.172,88.5292,landslide,downpour,medium
8224,2015-09-14,Mizoram,23.7313,92.7187,landslide,downpour,medium
4241,2012-03-04,Manipur,25.1604,93.6795,landslide,unknown,medium
755,2008-08-28,Sikkim,27.337,88.609,landslide,downpour,medium
1756,2010-04-17,Sikkim,27.322,88.6087,landslide,downpour,small
9334,2016-05-18,Assam,24.5204,92.7264,landslide,continuous_rain,unknown
8237,2016-07-01,Arunachal Pradesh,27.0136,92.6351,landslide,downpour,large
4859,2013-05-11,Assam,26.1771,91.7599,landslide,rain,medium
3916,2011-08-13,Assam,25.7713,93.8067,mudslide,downpour,medium
5250,2013-08-01,Arunachal Pradesh,27.8837,93.0515,mudslide,rain,medium
3805,2011-07-19,Sikkim,27.05374234,88.42572376,landslide,rain,medium
3738,2011-07-06,Manipur,24.8063,93.9482,landslide,downpour,medium
2426,2010-09-13,Mizoram,22.7176,92.8416,landslide,downpour,medium
7266,2015-07-22,Manipur,25.5098,93.8794,landslide,continuous_rain,medium
1129,2009-08-30,Manipur,24.8628,94.4182,landslide,downpour,medium
2166,2010-07-29,Assam,24.9786,93.5027,landslide,downpour,medium
213,2007-08-26,Assam,25.2946,92.8339,landslide,rain,medium
4426,2012-06-22,Assam,26.1226,91.7162,landslide,downpour,medium
8366,2015-09-23,Meghalaya,25.583,91.893,landslide,downpour,medium
1934,2010-06-03,Assam,24.6005,92.3814,landslide,downpour,medium
7655,2016-04-22,Arunachal Pradesh,27.5799,91.8569,landslide,continuous_rain,medium
9464,2016-08-05,Arunachal Pradesh,27.5754,91.9754,landslide,downpour,medium
580,2008-06-09,Manipur,24.6596,93.9784,landslide,monsoon,medium
8996,2016-07-14,Assam,26.1768,91.7702,landslide,monsoon,small
7138,2015-07-07,Sikkim,27.0816,88.4397,landslide,continuous_rain,small
4857,2013-05-11,Mizoram,23.7281,92.7175,landslide,rain,large
6945,2015-06-19,Manipur,25.16,93.686,landslide,monsoon,medium
4860,2013-05-11,Assam,26.1016,91.6906,landslide,rain,medium
4845,2013-05-07,Mizoram,24.2315,92.6755,mudslide,rain,medium
1770,2010-04-20,Assam,26.1965,91.763,landslide,downpour,medium
7728,2015-08-22,Assam,26.1028,91.8806,landslide,continuous_rain,medium
7836,2015-08-27,Mizoram,24.042,92.6724,landslide,downpour,medium
4798,2013-04-07,Arunachal Pradesh,28.8254,96.1509,landslide,rain,medium
7388,2015-08-01,Manipur,24.416,94.0984,landslide,continuous_rain,medium
9619,2016-10-15,Sikkim,27.1695,88.3664,landslide,rain,medium
7591,2015-03-19,Assam,25.0318,92.4584,landslide,rain,small
9232,2016-07-28,Mizoram,23.5397,93.3783,landslide,continuous_rain,medium
4434,2012-06-25,Assam,26.1049,91.7369,landslide,downpour,large
4378,2012-06-02,Arunachal Pradesh,28.8254,96.1517,landslide,downpour,medium
7214,2015-07-15,Arunachal Pradesh,27.36,93.0385,landslide,monsoon,medium
5582,2013-10-06,Assam,26.1309,91.8383,landslide,downpour,medium
3556,2011-05-31,Manipur,25.1555,93.8474,landslide,continuous_rain,small
2423,2010-09-13,Mizoram,23.73504471,92.71060943,landslide,downpour,medium
3532,2011-05-24,Assam,25.0888,92.8551,complex,downpour,medium
2345,2010-08-27,Sikkim,27.3392,88.6188,landslide,downpour,medium
7956,2015-09-05,Meghalaya,26.048,91.8695,landslide,unknown,medium
2425,2010-09-13,Mizoram,23.3439,93.0748,landslide,downpour,medium
6970,2015-06-16,Meghalaya,25.5084,90.2191,rock_fall,downpour,small
5312,2013-08-11,Assam,26.7103,94.693,landslide,downpour,very_large
1929,2010-05-31,Sikkim,27.3543,88.6428,landslide,downpour,medium
2568,2010-10-08,Assam,24.7679,93.4108,landslide,downpour,medium
7409,2015-08-02,Nagaland,25.72,94.6219,landslide,continuous_rain,medium
9219,2016-07-26,Nagaland,26.0101,94.5282,landslide,downpour,medium
8223,2015-09-14,Mizoram,23.7348,92.7187,landslide,downpour,large
7336,2015-08-19,Meghalaya,25.2193,90.5549,landslide,continuous_rain,medium
9252,2016-07-28,Arunachal Pradesh,27.5748,91.8644,landslide,monsoon,medium
7665,2015-08-11,Manipur,24.7016,93.5291,landslide,continuous_rain,medium
1994,2010-06-16,Assam,25.0633,92.8025,landslide,downpour,medium
7374,2015-08-01,Manipur,25.1122,94.3591,landslide,continuous_rain,medium
4446,2012-07-05,Arunachal Pradesh,28.9986,94.8885,landslide,downpour,large
269,2007-09-18,Sikkim,27.2872,88.2816,landslide,rain,medium
2205,2010-08-06,Mizoram,23.7365,92.7146,landslide,downpour,medium
4610,2012-11-11,Mizoram,23.7705,92.5217,landslide,downpour,medium
6112,2014-06-28,Assam,26.1964,91.7652,landslide,rain,medium
7390,2015-08-01,Manipur,24.4265,94.1913,landslide,continuous_rain,medium
2420,2010-09-13,Mizoram,23.72988966,92.71495623,landslide,downpour,medium
264,2007-09-13,Assam,26.1833,91.8,landslide,rain,medium
251,2007-09-09,Sikkim,27.1667,88.35,landslide,rain,medium
6214,2014-10-05,Meghalaya,25.9702,91.8587,landslide,rain,medium
4411,2012-06-14,Sikkim,27.339,88.6065,landslide,downpour,medium
7384,2015-08-01,Manipur,23.9278,94.0906,landslide,rain,medium
211,2007-08-26,Manipur,24.9667,93.55,mudslide,continuous_rain,medium
4384,2012-06-03,Assam,25.1775,93.0123,landslide,downpour,medium
4383,2012-06-03,Assam,25.3056,93.1265,landslide,downpour,medium
7375,2015-08-01,Manipur,25.1941,94.4481,landslide,continuous_rain,medium
4861,2013-05-12,Assam,24.9926,93.4946,mudslide,rain,medium
7972,2015-08-28,Mizoram,23.4495,92.8112,landslide,downpour,large
3831,2011-07-22,Manipur,24.7992,93.948,landslide,downpour,medium
5584,2013-10-06,Assam,26.1665,91.7049,landslide,downpour,medium
7387,2015-08-01,Manipur,24.954,94.2156,landslide,continuous_rain,small
2573,2010-10-09,Assam,25.1796,93.0083,mudslide,downpour,medium
9010,2016-07-16,Arunachal Pradesh,27.3034,93.804,mudslide,downpour,medium
6331,2014-09-08,Nagaland,25.9466,94.6279,mudslide,unknown,medium
1987,2010-06-15,Assam,25.2269,93.1658,landslide,downpour,medium
7910,2015-08-01,Manipur,24.3481,94.1146,landslide,unknown,medium
6775,2015-02-14,Assam,26.1468,91.6469,landslide,mining,small
6786,2015-02-19,Assam,24.6108,92.562,landslide,mining,medium
6291,2014-09-21,Meghalaya,25.7354,90.3852,landslide,continuous_rain,large
6213,2014-09-24,Meghalaya,25.8143,90.5763,landslide,continuous_rain,large
9336,2016-05-18,Assam,24.5308,92.5121,landslide,continuous_rain,small
9604,2016-10-12,Sikkim,27.2676,88.2891,landslide,continuous_rain,medium
7837,2015-08-27,Mizoram,23.7269,92.7265,landslide,downpour,medium
7267,2015-07-22,Manipur,25.3908,94.0926,landslide,continuous_rain,small
4848,2013-05-08,Tripura,24.0896,91.4663,landslide,rain,medium
9122,2016-07-20,Assam,26.1966,91.802,landslide,rain,medium
2574,2010-10-09,Assam,25.4749,93.1477,landslide,downpour,medium
6282,2014-09-22,Assam,26.1097,91.7747,landslide,rain,small
6289,2014-09-22,Assam,26.1001,91.6849,landslide,rain,small
9087,2016-07-19,Arunachal Pradesh,28.235,94.9612,landslide,downpour,medium
130,2007-07-19,Assam,26.1699,91.7986,landslide,rain,medium
